id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
2384,Hyde Park-Walk to UChicago or Theological Seminary,2613,Rebecca,,Hyde Park,41.7888649,-87.58670891,Private room,50,2,133,10/1/2018,241
4505,1 Great Apartment. 352 Great Reviews.  1 bad one.,5775,Craig & Kathleen,,South Lawndale,41.85495262,-87.69696179,Entire home/apt,120,2,363,9/24/2018,188
6715,Lincoln Park Oasis - Unit 2 ONLY,15365,Reem,,Lincoln Park,41.92926222,-87.66009125,Entire home/apt,255,4,93,8/12/2018,352
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91768924,-87.63787944,Entire home/apt,150,3,30,8/13/2018,349
10610,3 Comforts of Cooperative Living,2140,Lois And Ed,,Hyde Park,41.79708495,-87.59194894,Private room,35,2,31,7/29/2018,144
22651,beautifully furnished 3 bed/1bath 1,87231,Jeff And JoAnne,,Lake View,41.94910517,-87.65790583,Entire home/apt,185,1,170,9/25/2018,13
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679107,-87.65521134,Entire home/apt,99,32,37,7/29/2018,363
25267,Wrigleyville beautifully furnished 3 bedroom #2,87231,Jeff And JoAnne,,Lake View,41.94750674,-87.65928449,Entire home/apt,105,1,163,9/23/2018,62
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.9142263,-87.63846122,Entire home/apt,115,1,170,9/27/2018,169
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92693453,-87.65752711,Entire home/apt,99,32,43,9/18/2017,364
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97384553,-87.66538939,Private room,74,3,237,10/1/2018,272
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.8937749,-87.63465211,Private room,75,3,448,9/24/2018,5
44020,2 Bedrm 1 Block to Fullerton L  - Deck with Grll,101521,Red,,Lincoln Park,41.9267303,-87.65730729,Entire home/apt,80,32,50,10/1/2017,200
46151, Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,,Lincoln Park,41.91330636,-87.63964488,Entire home/apt,75,1,219,9/23/2018,69
46154,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,,Lincoln Park,41.91287206,-87.63978767,Entire home/apt,65,1,209,9/16/2018,71
53497,#Wrigley 2 BD /2 Bath Duplex: OD2F,87231,Jeff And JoAnne,,Lake View,41.9354095,-87.66711359,Entire home/apt,95,1,69,9/23/2018,38
56802,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,,Lincoln Park,41.91264188,-87.63979374,Entire home/apt,155,1,237,9/25/2018,67
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89686555,-87.67988892,Private room,59,4,47,9/24/2018,162
79101,5★Cubs/Beach!AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.96792406,-87.65756861,Private room,180,2,145,10/7/2018,361
80640,charming Logan Sqare 2bdrm greystone on Blue Line,376916,Dean,,Logan Square,41.92462101,-87.70468435,Entire home/apt,155,2,47,9/23/2018,350
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693077,-87.68032886,Private room,60,3,43,9/16/2018,154
110705,Fab Value!/ Spa /Deck/ARAGON/TRAIN,272671,Two For The Road,,Uptown,41.96930174,-87.65621311,Private room,99,2,128,10/7/2018,354
126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,,Uptown,41.96803815,-87.65122779,Private room,48,3,135,9/15/2018,205
133262,Sweet Ivy Suite #1 Relax & Recharge & Explore!,654712,Francesca,,West Town,41.89242541,-87.68078222,Entire home/apt,65,10,32,7/21/2018,98
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91350805,-87.63929446,Entire home/apt,475,2,35,10/9/2018,354
165952,"Two Bedroom, One Bathroom Apartment",791089,Conrad,,Lake View,41.94274277,-87.67321401,Entire home/apt,198,3,57,10/1/2018,362
166667,Cozy Garden Studio ,791089,Conrad,,North Center,41.9427444,-87.67377761,Entire home/apt,125,3,75,10/1/2018,350
166706,"Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,,Lake View,41.94221334,-87.6732679,Entire home/apt,280,3,21,7/10/2017,348
172616,ALONZO:  Art-filled Flat in the Ukrainian Village,3908,Layne,,West Town,41.89752659,-87.67315488,Entire home/apt,145,3,56,7/30/2018,193
175511,1BR/1BA Suite in Chicago,837429,Petru,,Irving Park,41.96011818,-87.72157979,Entire home/apt,67,2,16,9/15/2018,279
184764,Room w/private bath -kid friendly,886362,Julie,,Portage Park,41.94325158,-87.75403381,Private room,85,3,158,8/25/2018,348
189821,Private Apartment Hip Logan Square,899757,Meighan,,Logan Square,41.92972929,-87.70119754,Entire home/apt,150,2,386,9/21/2018,244
192652,Urban Oasis--Wicker Park Vintage,906713,Stephanie,,West Town,41.9013595,-87.679734,Private room,70,2,298,10/8/2018,251
198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,,North Center,41.95935102,-87.67963451,Private room,44,2,141,10/8/2018,37
207218,Historic Pullman Artist Flat,1019125,Jb,,Pullman,41.68830467,-87.60892493,Entire home/apt,90,1,229,10/8/2018,347
221109,1 Bedroom Apartment -Noble Square,1146738,Zeyna,,West Town,41.89272704,-87.65653716,Entire home/apt,115,4,106,8/30/2018,73
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92542935,-87.69592682,Private room,75,2,18,9/16/2017,358
228273,Amazing Lincoln Park Location!!,1190842,Brandon,,Lincoln Park,41.9312564,-87.65227338,Private room,109,2,51,10/8/2018,338
233933,ROOM W/PRIVATE BATH-WALK TO TRAINS,1224828,Tippi,,Irving Park,41.95602263,-87.72780856,Private room,55,2,130,7/23/2018,344
234442,Beautifully Furnished Studio SW2R,87231,Jeff And JoAnne,,Lincoln Park,41.91336569,-87.63918044,Entire home/apt,85,1,197,9/25/2018,71
236792,Modern Luxury Condo in Lakeview,1241447,Dana,,Uptown,41.9593949,-87.65440933,Entire home/apt,185,3,49,9/16/2018,349
241514,Gay friendly apartment in Chicago,1267472,Pedro,,Edgewater,41.99075202,-87.66556963,Private room,55,2,141,9/11/2018,159
242751,Junior 1 bedroom in Old Town :SW1F,87231,Jeff And JoAnne,,Lincoln Park,41.91290649,-87.63838881,Entire home/apt,75,1,231,9/14/2018,76
248791,Quiet Bedroom/ARAGON/Train,272671,Two For The Road,,Uptown,41.96797301,-87.65791273,Private room,90,2,90,9/23/2018,353
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.86050783,-87.62398901,Entire home/apt,170,180,39,4/25/2018,338
257601,Chicago Downtown High Rise Apartment In Loop,1291732,Jenn & Kris,,Loop,41.87792373,-87.62513551,Private room,25,3,380,9/22/2018,127
258253,Newly Constructed Studio Apartment Unit 4,1358243,June,,West Ridge,42.00692144,-87.68437535,Entire home/apt,60,31,16,1/5/2017,340
261509,You'll love Chicago! Guaranteed!,858008,Kassie,,Near North Side,41.90314235,-87.63493569,Entire home/apt,149,32,61,8/27/2018,315
267646,Logan Square Classic Bungalow,1313038,Mark,,Logan Square,41.92716147,-87.70470573,Private room,97,2,126,10/7/2018,357
272728,Quiet room in Quiet neighborhood!,1426804,Afri,,Chatham,41.72762917,-87.6130718,Private room,40,2,209,8/26/2018,314
289689,"30 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97793863,-87.6576357,Private room,25,30,56,9/22/2018,199
289884,Sunny Carriage House w/ Private Bathroom & Laundry,1500490,Hailey,,Logan Square,41.92410783,-87.68525131,Private room,125,2,78,9/30/2018,342
290155,Close to City an McCormick Place. Quiet and Safe,1505878,Bob,,Bridgeport,41.82701785,-87.63966882,Entire home/apt,131,3,32,9/24/2018,118
298321,nice room with king size bed,1537881,Marko,,Woodlawn,41.78215833,-87.59026583,Private room,48,2,44,9/24/2018,354
308331,"Charming, Cozy and Comfortable Condo",1546210,Dawn,,Edgewater,41.98566814,-87.6604964,Private room,65,1,31,9/26/2018,351
312192,Sleeps 6. 15 minutes to Everything.  Sky View,1505878,Bob,,Bridgeport,41.82767016,-87.63959057,Entire home/apt,142,3,26,7/29/2018,113
313227,WHOLE PRIVATE FLOOR near Train,259284,Cheryl,,Albany Park,41.96331303,-87.70915598,Entire home/apt,85,3,47,7/17/2017,278
325842,Lincoln Park Sunny Modern Home,1666599,Caroline,,Lincoln Park,41.92026289,-87.6589159,Entire home/apt,379,6,25,9/22/2018,358
345075,"Spacious, Vintage Hyde Park Apt.",1746524,Patricia,,Kenwood,41.8077042,-87.59435759,Private room,85,2,211,10/7/2018,324
350347,Lounge in a Luxury Loft near Wrigley Field,845242,Jay & Elisa,,Lake View,41.9398563,-87.65472987,Entire home/apt,136,3,394,9/25/2018,251
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,,West Town,41.89862159,-87.65597415,Entire home/apt,295,1,173,10/1/2018,342
375891,Full Size bed in fun Logan Sq.,1890059,Ellyzabeth,,Logan Square,41.92498566,-87.70625132,Private room,50,1,73,9/26/2018,52
385836,Beautifully furnished studio F409,87231,Jeff And JoAnne,,Near North Side,41.9075735,-87.6358078,Entire home/apt,85,1,248,10/5/2018,11
387336,Lincoln Park Oasis - Unit 1 ONLY,15365,Reem,,Lincoln Park,41.92911991,-87.65957776,Entire home/apt,230,4,52,9/16/2018,352
397472,"1 min to Lake,30 min to Downtown, free parking",782802,Joe,,Rogers Park,42.01454766,-87.66510666,Entire home/apt,71,1,306,10/6/2018,13
408267,"Cozy Room, Classic Chicago House",2032839,Patricia,,Rogers Park,42.01855143,-87.6678223,Private room,45,2,49,6/11/2018,324
408268,Private Room near Lake and Train,2032839,Patricia,,Rogers Park,42.01815148,-87.6683673,Private room,45,2,60,8/9/2018,332
422214,*Wicker Park*2 units*Sleeps 6-18*By train/downtown,1802802,Niki,,West Town,41.89843164,-87.66659355,Entire home/apt,250,2,111,9/30/2018,357
438850,HIGH RISE IN DOWNTOWN CHICAGO LOOP FOR RENT,1291732,Jenn & Kris,,Loop,41.87793982,-87.62465301,Private room,25,3,245,9/22/2018,68
464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92450711,-87.6938524,Entire home/apt,49,1,517,10/5/2018,122
477733,PilsenArtsDist/UIC/McCormickPlace,2367351,Leila,,Lower West Side,41.85329393,-87.66539433,Entire home/apt,200,2,156,9/17/2018,339
479086,Hostel Earphoria,337459,Earphoria,,Avondale,41.93244952,-87.71528138,Shared room,20,1,149,9/2/2018,358
496809,"Spacious Room with plush King Bed, Rogers Park",2453507,Estelle,,Rogers Park,42.0043515,-87.67500775,Private room,85,3,36,8/28/2018,342
507517,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.96713685,-87.69610722,Entire home/apt,95,2,244,9/30/2018,330
537419,Groovy on the Lake  private bd/bth,919011,Jacqueline,,Lake View,41.94286416,-87.63919089,Private room,130,1,28,10/20/2015,359
541535,Loft Apartment with Private Terrace!,654712,Francesca,,West Town,41.89314875,-87.68033274,Entire home/apt,65,7,22,10/7/2017,314
542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93065451,-87.70088542,Entire home/apt,140,2,234,9/24/2018,281
548905,Home Away From Home,2698691,Leo,,Grand Boulevard,41.82292602,-87.61558983,Entire home/apt,75,2,202,9/23/2018,207
555140,"Vintage, Cozy & Fun!",869291,Robert,,West Town,41.90599986,-87.69500651,Entire home/apt,115,3,196,9/17/2018,351
573540,Drop-dead fab on the Lake  2bd/2bth,919011,Jacqueline,,Lake View,41.94284298,-87.63918952,Entire home/apt,490,1,35,9/21/2015,359
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,,Lincoln Square,41.9636434,-87.6838246,Private room,75,1,42,8/21/2018,90
585353,Great neighborhood! Price Drop *,2885441,Tracy,,West Town,41.88956211,-87.66267336,Private room,69,1,105,10/8/2018,361
585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,,West Town,41.8899816,-87.66239843,Private room,74,1,104,9/30/2018,360
589939,"Recent Price Drop, awesome area!",2885441,Tracy,,West Town,41.89049179,-87.66259975,Shared room,83,1,55,10/7/2018,314
611839,"Stylish, comfortable room in nice Duplex",3034693,Daniela,,North Center,41.93537398,-87.67946487,Private room,40,1,106,10/4/2018,234
628149,Price drop! Affordability+Location!,2885441,Tracy,,West Town,41.89051757,-87.66085293,Private room,59,1,61,10/2/2018,358
629745,"Warm, bright 2br/2ba in West Town!",2445249,Gary And Cassie,,West Town,41.89375425,-87.66545245,Entire home/apt,129,2,201,4/24/2018,0
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99666559,-87.6621306,Private room,65,2,77,9/24/2018,300
642065,Bucktown Apartment,81779,Laura,,West Town,41.90686277,-87.67318815,Private room,249,2,29,10/8/2018,335
651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.9924364,-87.75569095,Private room,75,2,48,9/27/2018,359
662034,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,41.9920131,-87.75719426,Private room,65,2,48,9/29/2018,348
675641,"Posh Flat, 20 Mins to Downtown.",3230291,David,,Lake View,41.94301272,-87.65064139,Private room,54,2,315,10/8/2018,217
681842,Bedrm/Bath - Swanky Northside Condo.,3472696,Roxane,,West Ridge,41.99348104,-87.68120679,Private room,50,3,20,9/16/2018,333
696395,"Sunny Room in Cinema, Noble Square",3566231,Christy,,West Town,41.90112109,-87.66521321,Private room,75,2,21,8/15/2016,0
697634,"2 BD Condo by downtown,park,lake",3574415,Marv,,Near North Side,41.90302315,-87.63498932,Entire home/apt,99,31,148,8/23/2018,297
699284,Your Sweet Chicago Home,3586103,Judy,,Lincoln Park,41.92929141,-87.64894838,Entire home/apt,800,3,42,7/23/2018,363
713431,Large Private 3 Bedroom Apartment,718347,Laura And Jeremy,,West Town,41.90893541,-87.69213282,Entire home/apt,119,1,284,9/25/2018,345
722570,Modern & Cozy Lincoln Square Condo!,3731751,Kristi,,Lincoln Square,41.97483913,-87.69196443,Entire home/apt,139,1,24,10/8/2018,270
724656,*LovelyBrightRoom#1*in*CentralApt*,3745670,Poppy,,West Town,41.90018914,-87.6986225,Private room,35,1,153,9/18/2018,240
724895,Close to Chicago music Festivals!!!,2885441,Tracy,,West Town,41.88994893,-87.66095577,Private room,44,1,103,9/17/2018,357
726376,"Spacious Studio, Amazing Location!",2658212,James,,Lake View,41.93932075,-87.6521778,Entire home/apt,99,1,509,10/5/2018,100
727847,Palmer Treehouse - Bedroom 2,62150,K.Anne,,Logan Square,41.92254736,-87.70292721,Private room,60,2,62,10/8/2018,358
731232,Logan Square-Chicago Prime Location-Longer Stays,3804977,Paul And Nancy,,Logan Square,41.9266907,-87.6990017,Entire home/apt,150,3,110,9/15/2018,338
739495,Lovely 2 bedroom in Lincoln Square ,3867687,Janet,,Lincoln Square,41.97846957,-87.68086543,Entire home/apt,99,4,152,9/23/2018,230
755701,2 Bedroom Victorian Beauty at Logan Square,3920450,Vas,,Logan Square,41.92901899,-87.72004517,Entire home/apt,135,32,17,8/10/2015,293
764856,Stunning Downtown Artist Loft (West Loop),2619611,Andrew,,Near West Side,41.88722108,-87.64993125,Entire home/apt,159,2,146,9/30/2018,142
773127,Comfy Room & Bike in Roscoe Village,4009750,Matt,,North Center,41.94994021,-87.6819956,Private room,84,2,128,6/4/2017,283
780336,Private Room in designer apartment in Wicker Park,2343614,Daniela,,West Town,41.89854375,-87.67446623,Private room,70,2,161,9/25/2018,74
789867,Beautiful Private Room Near CTA With Free Parking,2782694,Cameron,,Lincoln Square,41.9641318,-87.67595081,Private room,20,2,162,9/23/2018,72
790016,Italian style in elegant apartment,1185573,Graz Anton,,Uptown,41.96045928,-87.66345812,Entire home/apt,299,365,16,8/18/2013,365
790934,04. Pullout sofa bed in common room,2907254,Joe,,West Ridge,42.01562199,-87.68818364,Shared room,70,1,133,6/22/2018,90
822313,Apt. for 4 - 15 minutes from Loop!,4193348,Dani & Dave,,Lower West Side,41.85306425,-87.68209078,Entire home/apt,60,5,130,9/17/2018,73
824518,"Cozy, Beautiful & Vintage Drenched",2655877,Bret,,West Town,41.90212918,-87.67598206,Entire home/apt,130,30,86,9/20/2018,345
861786,CityCondo/Museums/Lake/UIC,4515790,Lucero & Ray,,Near West Side,41.86694414,-87.65350108,Private room,65,2,257,10/8/2018,72
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla Yatkin And Enki,,Lincoln Park,41.92169542,-87.65958632,Private room,85,2,69,10/6/2018,219
873628,"River West, Grand Blue Line Stop",4611613,Russ,,West Town,41.89396863,-87.6497538,Private room,200,3,81,10/7/2018,173
887038,Lincoln Park Apt - 1 Bedroom plus alcove & futon,101521,Red,,Lincoln Park,41.92630414,-87.65567284,Entire home/apt,150,32,36,5/26/2017,365
903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,,Logan Square,41.9264933,-87.71379559,Private room,110,2,121,9/30/2018,315
909096,Art Filled Home with Rooftop Deck in Humboldt Park,4069585,Liz,,Humboldt Park,41.91105363,-87.70926949,Entire home/apt,400,1,183,9/21/2018,337
921884,Downtown Apartment - Private room and bath,1291732,Jenn & Kris,,Loop,41.88086405,-87.62466713,Private room,25,3,134,9/14/2018,160
927327,Beautiful Home in Wicker Park,4989824,Jon,,West Town,41.90528687,-87.68346941,Entire home/apt,1250,1,24,7/15/2018,360
929914,Charming apartment in Old Town,5007980,Lynn,,Lincoln Park,41.91316111,-87.63813123,Entire home/apt,115,3,239,10/8/2018,300
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88449048,-87.69659262,Private room,75,3,22,9/1/2018,341
949514,Modern Loft-Style Pad in Wicker!,5148353,Steven,,West Town,41.90677328,-87.66788036,Private room,75,3,110,9/24/2018,8
956612,Sunny apartment  in Lincoln Square,229947,Nancy,,Lincoln Square,41.9674842,-87.69774799,Private room,85,1,39,9/23/2017,0
960326,Stay in a Designer Penthouse with Art Gallery,5228189,Matthew,,West Town,41.89504804,-87.65448849,Entire home/apt,302,1,191,10/7/2018,202
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,,Edgewater,41.99383635,-87.67036986,Private room,69,2,163,9/30/2018,347
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.0062318,-87.66794356,Private room,59,2,201,9/16/2018,315
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00425793,-87.66692593,Private room,59,2,188,10/8/2018,346
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00380766,-87.67082081,Entire home/apt,159,2,139,10/8/2018,336
984850,"Spacious, Eclectic Loft with Rooftop in Old Town",5402236,Casey,,Near North Side,41.90465183,-87.63590814,Entire home/apt,749,2,88,9/16/2018,339
1016539,Family-Friendly 3-Bedroom Apartment,718347,Laura And Jeremy,,West Town,41.90659218,-87.6953817,Entire home/apt,119,1,249,9/24/2018,276
1020810,Beautiful Condo in Chicago,3843347,Andrea,,Near North Side,41.89430015,-87.62609288,Entire home/apt,100,30,24,6/20/2018,328
1032943,"4 rms/6 beds, 2.5 baths, Lake Michigan & McCormick",5684259,Marva,,Oakland,41.81995571,-87.59977836,Entire home/apt,250,2,165,10/8/2018,328
1056430,Charming space in Boystown/Lakeview,5830215,Albert And Antonio,,Lake View,41.94375728,-87.65163605,Private room,79,2,279,10/5/2018,331
1080532,Mid-Century mdn twnhs in Lakview,1838943,Sunnie/Randolph,,Lake View,41.93396049,-87.64108428,Entire home/apt,114,6,21,10/9/2018,289
1083987,MODERN LOFT Downtown FREE Pool/HotTub/Gym KING BED,3965428,Rob,,Near South Side,41.85278159,-87.6245315,Entire home/apt,85,60,20,10/15/2017,252
1096191,Studio at the Lake,6023157,Nataliya,,Uptown,41.97348881,-87.65334075,Entire home/apt,60,30,39,9/10/2018,131
1101458,Private Suite in Historic District,6050945,Seamus,,Austin,41.88654647,-87.77085898,Private room,55,1,166,9/26/2018,306
1113259,Private room in a cozy city condo,6109924,Nicole,,Rogers Park,42.01761346,-87.67986647,Private room,55,1,82,9/10/2018,298
1138514,Great 1B Steps from Beach :),6245550,Evelyn,,Rogers Park,42.00527305,-87.66405308,Entire home/apt,59,7,24,8/3/2018,252
1141045,"Posh Flat, Close to Downtown (No 2)",3230291,David,,Lake View,41.94664894,-87.65516897,Private room,54,2,306,9/30/2018,219
1171860,"Lincoln Park Studio, Great Value!",2658212,James,,Lincoln Park,41.92628299,-87.64025891,Entire home/apt,50,2,425,9/28/2018,139
1183249,"Boystown Studio, Outstanding Value!",2658212,James,,Lake View,41.93949541,-87.64483466,Entire home/apt,99,2,400,9/16/2018,113
1185749,3 Bedroom Charming Vintage Hideaway,1664593,Matt & Christy,,Near West Side,41.87086378,-87.68304776,Entire home/apt,99,3,254,10/1/2018,66
1195259,Wicker Park - Urban Homestead!,2899484,Jason,,West Town,41.91095,-87.67783247,Entire home/apt,135,4,161,9/17/2018,344
1217096,Designer Flat / Perfect Location,3230291,David,,Lake View,41.94673548,-87.64923681,Private room,95,2,283,9/30/2018,211
1229238,Two story family home,6705392,Mario,,Portage Park,41.94734815,-87.75761699,Entire home/apt,250,1,77,10/7/2018,349
1267060,Stylish Penthouse w/ Private Roof Deck & City View,4656241,Patrick,,West Town,41.8923945,-87.66545611,Entire home/apt,220,2,17,9/30/2018,149
1291440,Urban Oasis--Wicker Park2 Vintage,906713,Stephanie,,West Town,41.90143199,-87.67835795,Private room,75,2,156,10/9/2018,164
1304049,Private room near UIC Medical Dist.,7089017,Sharon,,Near West Side,41.87189819,-87.68486342,Private room,100,1,91,10/4/2018,362
1313143,Luxury 1BD by Navy Pier,7116753,Kristi,,Near North Side,41.89337773,-87.61856517,Entire home/apt,265,3,83,8/20/2017,39
1321332,Lincoln Park Single Family Home,946954,Jeff,,Lincoln Park,41.92912707,-87.66920677,Entire home/apt,500,2,52,8/31/2018,336
1324435,Chicago Downtown Apartment - Minutes from Train,1291732,Jenn & Kris,,Near North Side,41.90328584,-87.62847971,Entire home/apt,10,3,176,9/23/2018,303
1336364,Oakley Bells,1152621,Tamara,,West Town,41.89933608,-87.68442697,Entire home/apt,90,2,94,10/3/2018,253
1346414,Charming Andersonville 1BR - Yours,7015110,Iggy & Lindsay,,Edgewater,41.9828805,-87.66707753,Entire home/apt,120,4,93,9/25/2018,70
1356190,Logan Square Vintage Deluxe Suite,3069675,Gabrielle,,Logan Square,41.92082668,-87.68896496,Private room,90,1,187,9/30/2018,329
1359312,Jazzy Blu GuestRM/Priv BA in Bronzeville/Hyde Park,7378024,Savannah,,Washington Park,41.79752546,-87.62155152,Private room,73,2,48,10/9/2017,8
1369384,Private bed & bath w/garage parking,7385510,Anna,,Irving Park,41.95563846,-87.71154309,Private room,60,2,121,10/8/2018,329
1392594,"Bright open house, garden & deck",7528098,Eileen,,Uptown,41.96952005,-87.67239241,Entire home/apt,168,3,20,9/3/2018,80
1398616,"Designers' Apt Near Loop, McCormick",1540192,Michael And Jackie,,Bridgeport,41.83811795,-87.65230955,Private room,49,1,240,10/7/2018,347
1427950,Mid Century Modern Hideaway,1222412,Elizabeth,,Edgewater,41.98495891,-87.66806287,Entire home/apt,120,3,62,10/6/2018,318
1428589,Charming Private Room + Parking at Ellis Place,2465946,Bonita & Frank,,Oakland,41.82781345,-87.6052333,Private room,37,1,255,9/22/2018,354
1431467,Eclectic Lincoln Square 2-Bedroom,7693313,Kara,,Lincoln Square,41.97100922,-87.68877623,Entire home/apt,150,2,26,9/9/2018,290
1461451,02b. Twin bed in Coed Space,2907254,Joe,,West Ridge,42.01589782,-87.6882683,Shared room,25,1,134,1/28/2018,39
1468342,Quaint Serenity in Bronzeville,4081052,Suzetta,,Grand Boulevard,41.8126603,-87.61586485,Private room,65,2,100,9/23/2018,358
1475647,01b. Twin bed in Shared Foster Cat Room,2907254,Joe,,West Ridge,42.01701339,-87.68718263,Shared room,25,1,80,9/19/2018,38
1488883,Private Room & Bath | Beautiful Apt,517499,Derek,,Uptown,41.95523106,-87.65385461,Private room,70,3,36,10/1/2018,142
1502674,The Biddle House (#2),33004,At Home Inn,,Lincoln Park,41.9130678,-87.64012371,Entire home/apt,158,3,18,9/22/2018,343
1503962,Luxury condo Chicago/Lincoln Square,5892784,Alin,,Lincoln Square,41.98067344,-87.68874928,Entire home/apt,108,3,61,10/7/2018,171
1510097,Hinterlands,1965902,Lynn,,Avondale,41.93275443,-87.71644904,Entire home/apt,97,2,151,9/11/2018,321
1524276,Modern Penthouse Loft in Wicker Park,5721289,Scott,,West Town,41.90586642,-87.66479089,Private room,95,2,32,10/8/2018,353
1541692,Private room in Chicago,8217410,Aisha & Antonio,,Oakland,41.82935501,-87.60480318,Private room,62,3,73,10/2/2018,350
1554433,Charming Home in Chicago,6088938,Eric,,Beverly,41.71347553,-87.67195462,Private room,90,2,128,9/10/2018,305
1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,,Lower West Side,41.85763176,-87.66236472,Private room,65,2,65,9/24/2018,205
1584422,Magic Factory Lofts  - Not your typical Airbnb,2810938,Carole & Basil,,Near North Side,41.90606789,-87.64879609,Entire home/apt,688,3,23,11/5/2014,64
1584509,The Historic Florsheim Mansion,8442094,Russ,,Near North Side,41.90697302,-87.62941222,Entire home/apt,450,2,43,8/5/2018,358
1587078,Gorgeous Apartment in Bucktown,4908881,Irena & Martin,,Logan Square,41.91638217,-87.68421723,Entire home/apt,149,2,244,10/7/2018,340
1591370,Comfy Northside Chicago Apt - Fall Special Rates!,8489460,Holly + Mark,,Rogers Park,42.01114474,-87.67634326,Entire home/apt,90,2,56,10/6/2018,352
1614802,Lincoln Park/De Paul area.,8595700,Carin,,Lake View,41.93574268,-87.66225183,Private room,60,3,207,10/5/2018,301
1623463,East Pilsen,8463536,Maximiliano,,Lower West Side,41.85899658,-87.64619716,Entire home/apt,80,2,29,1/1/2018,59
1641601,Private Nook in Leafy Andersonville,8626951,CC & Tun,,Uptown,41.97281705,-87.67256711,Private room,69,2,221,10/10/2018,355
1641696,Spacious Room in an Elegant Condo,8716277,Nirajan,,Lincoln Square,41.96811348,-87.69570703,Private room,79,2,39,10/8/2018,361
1648535,A block from Train Nice 2 Bedroom 2 Full Bathroom!,1837370,Armando,,Rogers Park,42.01598983,-87.66901336,Entire home/apt,70,1,97,9/27/2018,251
1656336,Park Views-Walk to Orange Line(MDW),8781008,Jenny,,Mckinley Park,41.82515523,-87.67455755,Entire home/apt,95,1,222,9/23/2018,346
1656439,Cozy & Modern Urban Oasis,517499,Derek,,Uptown,41.95607587,-87.64535784,Entire home/apt,250,7,21,9/19/2016,34
1663673,iKlektik House // Cardinal,8813383,Mindy + Tony,,West Town,41.8939826,-87.68606401,Entire home/apt,99,2,245,10/1/2018,149
1668481,Cozy 2BR Apt - Humboldt Park,531832,Evan,,West Town,41.89664875,-87.69719041,Entire home/apt,82,4,102,10/8/2018,4
1672647,Victorian greystone near Loyola U!,2707385,Caitlin & Lisa,,Rogers Park,41.99892077,-87.67322142,Entire home/apt,109,2,189,10/4/2018,341
1678422,Nice room in Penthouse in Lakeview,8852597,Hector,,Lake View,41.93464727,-87.65754491,Private room,75,1,24,2/28/2017,88
1721045,*Recent Price Drop! Superb location!,2885441,Tracy,,West Town,41.88998967,-87.66253612,Private room,79,1,64,10/9/2018,355
1721109,"Large Vintage 3 bedroom unit short walk to 
Train",1837370,Armando,,Rogers Park,41.99968674,-87.67115873,Entire home/apt,100,1,129,9/23/2018,194
